station,latitude,longitude
Decatur,33.77452350213134,-84.2953761869187
Avondale,33.775030857776706,-84.28233754763869
Chamblee,33.887430936043835,-84.30632437676441
Lakewood-Ft. McPherson,33.700331434235736,-84.4289440309677
Oakland City,33.71703218276701,-84.42515985144823
West End,33.7358233864717,-84.41366998137127
Arts Center,33.789084201961124,-84.3868068781822
Lindbergh Center,33.82248569901961,-84.36953392502531
Kensington,33.77259708180039,-84.25191914320045
Georgia State,33.74997973158319,-84.38584557158936
King Memorial,33.74980807108449,-84.37554588614684
Inman Park-Reynoldstown,33.757410764920266,-84.35275687836777
Edgewood-Candler Park,33.761805297160464,-84.33988608658737
East Lake,33.76511264129406,-84.3130534980389
Indian Creek,33.769739873694924,-84.2296641921564
Vine City,33.756464718019984,-84.4047359585507
Ashby,33.75628161202333,-84.41679040586273
Bankhead,33.7721469405754,-84.42893640542505
West Lake,33.75324892549015,-84.4453853838783
Hamilton E. Holmes,33.754412407338144,-84.47044032274184
Midtown,33.780764345314715,-84.3864559255166
Dunwoody,33.921072756961,-84.34441795668336
Medical Center,33.91055944900886,-84.35145988922012
Sandy Springs,33.932612218512695,-84.3531536163913
North Springs,33.94382361542961,-84.35731926791782
Buckhead,33.847773332241765,-84.36765709505482
Lenox,33.845961350913434,-84.3569149041148
Brookhaven,33.85997655223856,-84.33926811033817
Doraville,33.90239218259418,-84.28101003943793
North Avenue,33.77157473782983,-84.38677635904514
Civic Center,33.76638674806485,-84.38748589294255
Peachtree Center,33.75968432403331,-84.38756981582847
Five Points,33.75383639115549,-84.39171257774473
Dome/GWCC/Philips/CNN,33.75617861540148,-84.39740410835064
Garnett,33.74880098942665,-84.39558831189265
Airport,33.640688629660204,-84.44617883521133
College Park,33.651533816178826,-84.44880334830002
East Point,33.6768748554687,-84.44080011253338
